Date,Energy,Bond
13/08/2013,694.81,133.42
14/08/2013,697.08,133.81
15/08/2013,686.54,133.13
16/08/2013,686.83,133.66
19/08/2013,670.3,133.36
20/08/2013,668.77,133.64
21/08/2013,663.86,132.67
22/08/2013,668.97,132.45
23/08/2013,676.11,132.78
26/08/2013,669.99,132.81
27/08/2013,657.94,132.77
28/08/2013,650.87,132.41
29/08/2013,652.39,131.87
30/08/2013,655.67,131.54
02/09/2013,658.89,131.78
03/09/2013,670.73,131.58
04/09/2013,668.44,131.96
05/09/2013,681.47,131.1
06/09/2013,687.37,131.88
09/09/2013,689.76,132.64
10/09/2013,698.79,132.84
11/09/2013,703.71,133.12
12/09/2013,698.6,133.3
13/09/2013,700.76,133.02
16/09/2013,707.08,134.09
17/09/2013,704.4,134.16
18/09/2013,710.49,134.22
19/09/2013,719.35,136.03
20/09/2013,714.22,135.51
23/09/2013,717.17,135.64
24/09/2013,717.78,135.54
25/09/2013,719.37,135.31
26/09/2013,734.86,135.2
27/09/2013,744.17,135.28
30/09/2013,747.47,135.4
01/10/2013,759.08,135.65
02/10/2013,763.46,135.78
03/10/2013,766.68,135.99
04/10/2013,770.85,135.78
07/10/2013,764.07,135.7
08/10/2013,765.84,135.84
09/10/2013,763.53,135.38
10/10/2013,774.03,135.25
11/10/2013,778.93,135.6
14/10/2013,779.08,135.73
15/10/2013,785.27,135.43
16/10/2013,790.73,135.45
17/10/2013,800.34,136.75
18/10/2013,809.88,136.84
21/10/2013,815.66,136.8
22/10/2013,817.22,137.56
23/10/2013,802.87,137.31
24/10/2013,797.62,137.39
25/10/2013,782.74,137.49
28/10/2013,776.74,137.47
29/10/2013,778.28,137.16
30/10/2013,775.9,137.28
31/10/2013,772.02,136.35
01/11/2013,773.69,135.59
04/11/2013,787.65,135.98
05/11/2013,788.54,135.42
06/11/2013,793.93,135.84
07/11/2013,769.79,135.46
08/11/2013,771.67,134.6
11/11/2013,777.07,134.81
12/11/2013,774.48,134.44
13/11/2013,776.25,134.34
14/11/2013,788.35,134.77
15/11/2013,791.26,135.02
18/11/2013,793.8,135.69
19/11/2013,779.68,135.55
20/11/2013,774.7,135.42
21/11/2013,775.94,134.91
22/11/2013,772.95,135.26
25/11/2013,771.75,135.3
26/11/2013,767.82,135.41
27/11/2013,769.36,135.33
28/11/2013,770.56,135.46
29/11/2013,772.39,135.63
02/12/2013,768.33,135.2
03/12/2013,758.96,135.47
04/12/2013,755.68,135.1
05/12/2013,755.59,135.33
06/12/2013,755.8,135.46
09/12/2013,751.25,135.55
10/12/2013,754.45,135.91
11/12/2013,746.09,135.74
12/12/2013,743.3,135.33
13/12/2013,743.4,135.39
16/12/2013,745.85,135.59
17/12/2013,746.31,135.51
18/12/2013,750.11,135.69
19/12/2013,755.24,134.86
20/12/2013,746.09,134.86
23/12/2013,752.58,135.05
24/12/2013,748.96,134.8
25/12/2013,748.44,134.81
26/12/2013,751.02,134.88
27/12/2013,765.82,135.07
30/12/2013,768.7,135.56
31/12/2013,770.87,135.44
02/01/2014,787.79,134.75
03/01/2014,791.2,134.66
06/01/2014,787.09,134.81
07/01/2014,792.71,134.79
08/01/2014,794.77,134.48
09/01/2014,794.45,134.31
10/01/2014,797.2,135.22
13/01/2014,794.01,135.4
14/01/2014,793.35,135.63
15/01/2014,798.72,134.98
16/01/2014,807.81,135.06
17/01/2014,810.35,135.03
20/01/2014,807.66,135.09
21/01/2014,804.52,134.94
22/01/2014,808.4,135.05
23/01/2014,797.23,135.6
24/01/2014,773.34,135.52
27/01/2014,755.39,135.56
28/01/2014,770.42,135.58
29/01/2014,770.68,135.45
30/01/2014,771.14,135.06
31/01/2014,775.02,134.83
03/02/2014,756.72,135.11
04/02/2014,747.52,135.2
05/02/2014,744.23,135.38
06/02/2014,759,135.68
07/02/2014,780.06,135.86
10/02/2014,785.98,135.95
11/02/2014,785.22,136.24
12/02/2014,792.09,135.9
13/02/2014,796.69,136.18
14/02/2014,794.81,136.34
17/02/2014,799.9,136.44
18/02/2014,806.19,136.57
19/02/2014,800.89,136.58
20/02/2014,798.13,136.18
21/02/2014,805.76,136.34
24/02/2014,818.17,136.51
25/02/2014,817.76,136.7
26/02/2014,819.22,136.46
27/02/2014,832.15,136.72
28/02/2014,835.43,137.3
03/03/2014,830.81,137.16
04/03/2014,850.25,137.04
05/03/2014,848.87,137.08
06/03/2014,862.54,137.49
07/03/2014,860.57,137.41
10/03/2014,852.03,137.62
11/03/2014,854.78,137.57
12/03/2014,846.01,137.88
13/03/2014,833.48,138.28
14/03/2014,816.22,138.25
17/03/2014,822.07,138.28
18/03/2014,828.62,138.34
19/03/2014,839.62,138.06
20/03/2014,829.23,137.06
21/03/2014,820.92,137.08
24/03/2014,818.61,137.25
25/03/2014,814.91,137.43
26/03/2014,808.81,137.61
27/03/2014,820.62,137.54
28/03/2014,824.39,137.46
31/03/2014,828.31,137.76
01/04/2014,834.49,137.82
02/04/2014,837,137.42
03/04/2014,824.8,137.07
04/04/2014,822.96,137.4
07/04/2014,809.2,137.74
08/04/2014,810.26,138.18
09/04/2014,818.14,138.2
10/04/2014,806.21,138.75
11/04/2014,796.53,138.82
14/04/2014,784.72,138.34
15/04/2014,776.97,138.42
16/04/2014,793.07,138.19
17/04/2014,797.05,138.15
18/04/2014,797.48,138.18
21/04/2014,800.15,138
22/04/2014,819.78,138
23/04/2014,818.03,138.17
24/04/2014,814.14,138.1
25/04/2014,803.43,138.26
28/04/2014,787.64,138.44
29/04/2014,784.46,138.38
30/04/2014,788.09,138.9
01/05/2014,791,139.03
02/05/2014,798.38,139.11
05/05/2014,797.23,139.03
06/05/2014,795.87,139.54
07/05/2014,778.84,139.51
08/05/2014,772.88,139.57
09/05/2014,775.39,138.84
12/05/2014,795.38,138.89
13/05/2014,794.38,138.96
14/05/2014,798.96,139.21
15/05/2014,780.94,139.4
16/05/2014,774.42,139.32
19/05/2014,777.55,139.29
20/05/2014,777.45,139.08
21/05/2014,789.04,138.82
22/05/2014,802.85,138.86
23/05/2014,810.64,138.67
26/05/2014,817.86,138.86
27/05/2014,816.23,138.73
28/05/2014,817.16,138.82
29/05/2014,825.09,138.96
30/05/2014,822.07,138.9
02/06/2014,822.75,138.52
03/06/2014,820.25,138.33
04/06/2014,817.49,138.31
05/06/2014,824.43,138.5
06/06/2014,830.81,139.11
09/06/2014,833.75,138.73
10/06/2014,832.82,138.28
11/06/2014,836.58,138.34
12/06/2014,840.18,138.66
13/06/2014,849.41,138.71
16/06/2014,850.47,139.01
17/06/2014,864.61,138.53
18/06/2014,873.19,138.74
19/06/2014,872.96,139.33
20/06/2014,875.34,138.85
23/06/2014,869.61,139.16
24/06/2014,861.33,139.17
25/06/2014,865.75,139.64
26/06/2014,874.06,139.51
27/06/2014,877.69,139.79
30/06/2014,880.75,140.28
01/07/2014,879,140.22
02/07/2014,879.85,139.86
03/07/2014,890.07,139.39
04/07/2014,884.78,139.35
07/07/2014,874.96,139.43
08/07/2014,851.85,139.77
09/07/2014,851.57,139.99
10/07/2014,842.63,139.93
11/07/2014,843.35,139.84
14/07/2014,848.66,139.97
15/07/2014,843.98,139.67
16/07/2014,846.99,139.47
17/07/2014,837.94,139.54
18/07/2014,847.86,139.43
21/07/2014,849.39,139.57
22/07/2014,861.6,139.34
23/07/2014,857.28,139.51
24/07/2014,860.1,139.34
25/07/2014,858.71,139.35
28/07/2014,860.8,139.31
29/07/2014,855.09,139.2
30/07/2014,855.43,138.58
31/07/2014,837.16,138.5
01/08/2014,826.23,139.05
04/08/2014,835.43,138.91
05/08/2014,838.05,138.56
06/08/2014,838.66,138.63
07/08/2014,842.2,138.79
08/08/2014,836.3,139.04
11/08/2014,855.3,139.03
12/08/2014,853.2,138.9
13/08/2014,861.73,139.2
14/08/2014,865.19,139.35
15/08/2014,867.34,139.55
18/08/2014,876.1,139.31
19/08/2014,881.83,139.1
20/08/2014,883.62,138.86
21/08/2014,879.76,138.81
22/08/2014,878.88,138.54
25/08/2014,885.88,138.28
26/08/2014,882.72,138.36
27/08/2014,885.09,138.57
28/08/2014,875.42,138.47
29/08/2014,877.31,138.54
01/09/2014,874.65,138.34
02/09/2014,876.44,137.86
03/09/2014,882.46,137.96
04/09/2014,888.03,137.17
05/09/2014,889.66,137.15
08/09/2014,890.33,136.97
09/09/2014,869.06,136.41
10/09/2014,868.99,136.42
11/09/2014,869.37,136.46
12/09/2014,865.96,136.04
15/09/2014,847.99,136.2
16/09/2014,843.38,136.22
17/09/2014,846.22,136.42
18/09/2014,847.09,136.12
19/09/2014,842.74,135.81
22/09/2014,831.98,135.77
23/09/2014,826.99,135.97
24/09/2014,832.77,135.56
25/09/2014,823,135.34
26/09/2014,823.96,134.79
29/09/2014,813.61,134.78
30/09/2014,805.54,134.62
01/10/2014,790.82,134.7
02/10/2014,784.91,134.97
03/10/2014,789.29,133.83
06/10/2014,768.5,134.5
07/10/2014,768.68,135.07
08/10/2014,766.2,135.26
09/10/2014,753.01,135.65
10/10/2014,734,135
13/10/2014,725.51,135.49
14/10/2014,726.52,135.57
15/10/2014,723.77,136.39
16/10/2014,723.75,136.06
17/10/2014,736.34,135.9
20/10/2014,741.72,136.02
21/10/2014,754.6,135.73
22/10/2014,755.91,135.38
23/10/2014,753.57,135.06
24/10/2014,754.01,135.29
27/10/2014,742.11,135.46
28/10/2014,762.87,135.73
29/10/2014,761.95,135.83
30/10/2014,763.92,135.19
31/10/2014,776.56,134.56
03/11/2014,773.82,134.16
04/11/2014,766.29,134.68
05/11/2014,762.54,134.16
06/11/2014,752.65,133.77
07/11/2014,761.33,133.85
10/11/2014,757.86,133.96
11/11/2014,757.35,133.88
12/11/2014,752.19,134.25
13/11/2014,747.44,134.1
14/11/2014,750.72,133.51
17/11/2014,747.27,133.69
18/11/2014,755.31,134.28
19/11/2014,757.06,134.06
20/11/2014,761.64,134.27
21/11/2014,771.05,133.88
24/11/2014,776.58,133.95
25/11/2014,779.25,134.35
26/11/2014,784.73,134.73
27/11/2014,780.03,134.46
28/11/2014,764.48,134.29
01/12/2014,740.66,134.17
02/12/2014,745.29,133.47
03/12/2014,749.18,133.1
04/12/2014,746.99,133.78
05/12/2014,749.95,132.75
08/12/2014,739.77,132.95
09/12/2014,734.99,133.81
10/12/2014,739.34,133.74
11/12/2014,736.61,133.43
12/12/2014,730.08,134.09
15/12/2014,720.51,133.58
16/12/2014,712.92,134.11
17/12/2014,709.82,133.37
18/12/2014,724.34,132.78
19/12/2014,726.9,132.82
22/12/2014,730.36,132.69
23/12/2014,730.46,132.14
24/12/2014,732.82,132.15
25/12/2014,732.51,132.18
26/12/2014,736.13,132.16
29/12/2014,738.21,132.43
30/12/2014,732.43,132.6
31/12/2014,735.16,132.31
02/01/2015,737.83,131.94
05/01/2015,724.29,131.47
06/01/2015,723.44,131.73
07/01/2015,723.64,130.97
08/01/2015,738.62,130.87
09/01/2015,737.63,131.4
12/01/2015,730.89,131.27
13/01/2015,734.45,131.2
14/01/2015,733.29,131.49
15/01/2015,724.33,130.87
16/01/2015,722.51,130.39
19/01/2015,724.94,131.19
20/01/2015,721.68,130.66
21/01/2015,729.47,130.43
22/01/2015,731.92,129.75
23/01/2015,735.22,129.18
26/01/2015,757.46,128.95
27/01/2015,767.49,129.88
28/01/2015,761.19,129.74
